Eco_Reserve,Location,Transect,Plot,Latitude,Longitude,Elevation,Slope,Aspect,Forest_Type,Harvest_History,Age_DBH,Live_Basal_Area,Live_TPH,Large_Live_TPH,Very_Large_Live_TPH,Standing_Dead_TPH,Large_Standing_Dead_TPH,Very_Large_Standing_Dead_TPH,DCWD_Volume,Large_DCWD_Volume
Duck Lake,NA,4,3,45.10681747,-68.0440926,113,2,210,120,1,184,38.25766597,594.8366492,128.8435239,9.876194003,128.8435239,9.876194003,9.876194003,10.99677371,0
Duck Lake,NA,4,4,45.10641041,-68.04708658,112,0,0,120,0,NA,26.77429279,832.7713089,0,0,237.9346597,0,0,34.77729685,0
Duck Lake,NA,4,5,45.10543412,-68.04983574,112,0,0,120,1,95,25.61306121,594.8366492,9.876194003,9.876194003,0,0,0,24.53655133,0
Duck Lake,NA,4,6,45.10440303,-68.05249674,111,0,0,120,1,72,23.91442831,951.7386388,0,0,356.9019895,0,0,23.19631954,0
Duck Lake,NA,3,1,45.12549188,-68.02971719,100,0,0,700,0,72,26.94042329,773.287644,0,0,59.48366492,0,0,31.10025064,0
Duck Lake,NA,3,2,45.12438808,-68.03224085,102,0,0,500,1,46,19.90202186,356.9019895,59.48366492,0,0,0,0,0,0
Duck Lake,NA,3,3,45.12330341,-68.03490395,102,0,0,700,0,45,15.34927085,416.3856545,0,0,0,0,0,3.436491783,0
Duck Lake,NA,3,4,45.12220056,-68.03755454,103,0,0,700,0,60,7.806638154,356.9019895,0,0,0,0,0,38.79799223,0
Deboullie,NA,3,1,46.9630096,-68.83959888,347,16,28,120,0,60,26.52668548,475.8693194,0,0,118.9673298,0,0,121.9267285,57.76742687
Deboullie,NA,3,2,46.96474446,-68.83823978,345,4,250,900,5,60,15.43574654,654.3203142,0,0,297.4183246,0,0,305.6072143,0
Deboullie,NA,3,3,46.96682136,-68.83694528,357,12,120,800,1,104,13.80060389,178.4509948,59.48366492,0,118.9673298,0,0,45.2929617,0
Deboullie,NA,3,4,46.96891511,-68.83487501,423,28,290,120,1,NA,29.97267852,535.3529843,128.8435239,9.876194003,237.9346597,0,0,125.4319501,0
